Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2021, тыс. рублей;Март, 2021, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;35 183 481 373,00;34 164 484 505,00;1 018 996 868,00;2,98
2;0;ВТБ;1000;Санкт-Петербург и обл.;17 360 106 961,00;17 156 262 115,00;203 844 846,00;1,19
3;0;Газпромбанк;354;Москва и обл.;7 631 700 035,00;7 425 628 306,00;206 071 729,00;2,78
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;5 717 719 038,00;5 165 000 161,00;552 718 877,00;10,70
5;0;Альфа-Банк;1326;Москва и обл.;4 949 678 580,00;4 815 656 950,00;134 021 630,00;2,78
6;0;Россельхозбанк;3349;Москва и обл.;3 995 972 893,00;3 878 298 861,00;117 674 032,00;3,03
7;0;Московский Кредитный Банк;1978;Москва и обл.;3 175 284 512,00;3 094 127 442,00;81 157 070,00;2,62
8;0;Банк Открытие;2209;Москва и обл.;2 844 869 339,00;2 750 182 103,00;94 687 236,00;3,44
9;0;Совкомбанк;963;Костромская обл.;1 609 005 409,00;1 603 006 279,00;5 999 130,00;0,37
10;0;Райффайзенбанк;3292;Москва и обл.;1 458 809 086,00;1 436 461 167,00;22 347 919,00;1,56
11;0;Росбанк;2272;Москва и обл.;1 432 697 172,00;1 377 029 453,00;55 667 719,00;4,04
12;0;ЮниКредит Банк;1;Москва и обл.;1 268 365 972,00;1 317 627 622,00;-49 261 650,00;-3,74
13;0;Траст;3279;Москва и обл.;1 247 598 880,00;1 255 787 118,00;-8 188 238,00;-0,65
14;0;Россия;328;Санкт-Петербург и обл.;1 059 701 409,00;1 045 864 602,00;13 836 807,00;1,32
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;973 464 962,00;995 443 495,00;-21 978 533,00;-2,21
16;0;Тинькофф Банк;2673;Москва и обл.;872 924 975,00;856 881 510,00;16 043 465,00;1,87
17;0;Санкт-Петербург;436;Санкт-Петербург и обл.;753 451 535,00;735 723 729,00;17 727 806,00;2,41
18;0;Ситибанк;2557;Москва и обл.;735 858 199,00;700 791 100,00;35 067 099,00;5,00
19;2;Банк ДОМ.РФ;2312;Москва и обл.;651 761 329,00;582 091 847,00;69 669 482,00;11,97
20;0;Новикомбанк;2546;Москва и обл.;622 861 468,00;594 221 386,00;28 640 082,00;4,82
